id,student_id,name,grade,group,note
1,STU001,Alice Johnson,A,Group A,High performer
2,STU002,Bob Smith,B,Group B,Needs extra support
3,STU003,Carol Williams,A,Group A,Excellent in math
4,STU004,David Brown,B,Group B,Prefers front seat
5,STU005,Emma Davis,C,Group C,Needs hearing assistance
6,STU006,Frank Martinez,A,Group A,Team leader
7,STU007,Grace Lee,B,Group B,Creative thinking
8,STU008,Henry Chen,A,Group A,Strong in science
9,STU009,Ivy Taylor,B,Group B,Friendly and collaborative
10,STU010,Jack Anderson,C,Group C,Needs mobility space
11,STU011,Karen White,A,Group A,Excellent in literature
12,STU012,Leo Harris,B,Group B,Talkative and extroverted
13,STU013,Maya Patel,A,Group A,Quiet and introspective
14,STU014,Nathan Green,C,Group C,Needs front seat
15,STU015,Olivia Black,B,Group B,Athletic and active
